date,JPMorgan Chase,Bank of America,Citigroup,Goldman Sachs,Morgan Stanley,Wells Fargo,Bank of New York Mellon,State Street,Royal Bank of Canada,Toronto-Dominion Bank,HSBC,Barclays,Standard Chartered,BNP Paribas,Credit Agricole,Societe Generale,Deutsche Bank,ING Groep,Banco Santander,UBS Group,Mitsubishi UFJ Financial Group,Sumitomo Mitsui Financial Group,Mizuho Financial Group,Industrial and Commercial Bank of China,China Construction Bank,Bank of China,Agricultural Bank of China,Bank of Communications,aggregate_market_leverage
2024-12-31,,,,,,,,,,,,,38.157189,40.498740,56.598964,76.817426,,,,,,,,25.108217,22.939757,,,25.362956,29.938936
2025-01-02,,,,,,,,,,,,,38.292991,40.478742,56.390571,77.041406,,,,,,,,26.947400,24.574341,,,26.190824,31.447113
2025-01-03,,,,,,,,,,,,,38.142160,40.991715,56.914508,78.632471,,,,,,,,26.735151,24.613435,,,25.908686,31.382390
2025-01-06,,,,,,,,,,,,,37.587247,39.965775,56.307653,76.290722,,,,,,,,26.735151,24.613435,,,25.789695,31.233035
2025-01-07,,,,,,,,,,,,,38.217423,39.727076,56.204349,77.139814,,,,,,,,26.630324,24.652661,,,25.868895,31.256899
2025-01-08,,,,,,,,,,,,,37.460145,39.894504,56.307653,75.649314,,,,,,,,26.474673,24.613435,,,25.988650,31.151346
2025-01-10,,,,,,,,,,,,,36.837655,40.412224,56.245625,76.553158,,,,,,,,26.840840,25.092897,,,26.354933,31.545698
2025-01-13,,,,,,,,,,,,,37.190735,40.220581,56.060375,76.608637,,,,,,,,26.947400,25.215819,,,26.521195,31.629476
2025-01-14,,,,,,,,,,,,,36.925278,39.465966,55.132619,74.899203,,,,,,,,26.787886,24.850758,,,26.479425,31.298400
2025-01-15,,,,,,,,,,,,,35.769140,38.679049,54.293202,72.699210,,,,,,,,26.526347,24.613435,,,26.272612,30.923532
2025-01-16,,,,,,,,,,,,,35.426988,38.600313,54.025490,72.699210,,,,,,,,26.168977,24.304258,,,26.903375,30.701779
2025-01-17,,,,,,,,,,,,,35.123174,38.582188,53.854811,72.649314,,,,,,,,26.578229,24.652661,,,27.120686,31.012161
2025-01-21,,,,,,,,,,,,,35.028343,38.064101,53.146099,71.231968,,,,,,,,26.018863,24.077637,,,26.647328,30.453579
2025-01-22,,,,,,,,,,,,,35.491640,38.539968,53.535389,71.231968,,,,,,,,26.270057,24.419247,,,26.903375,30.787948
2025-01-23,,,,,,,,,,,,,34.902719,37.906207,52.871550,69.674378,,,,,,,,25.627179,23.818754,,,26.521195,30.128781
2025-01-24,,,,,,,,,,,,,35.123174,37.772763,52.944479,69.491643,,,,,,,,24.970455,23.458835,,,26.354933,29.699229
2025-01-27,,,,,,,,,,,,,35.459284,37.417801,52.708204,69.016558,,,,,,,,24.566457,23.178975,,,25.750284,29.338312
2025-01-28,,,,,,,,,,,,,35.654336,37.220430,52.295400,68.162468,,,,,,,,24.789204,23.458835,,,25.750284,29.496141
2025-01-29,,,,,,,,,,,,,34.949719,37.170025,52.064977,67.500929,,,,,,,,24.789204,23.458835,,,25.750284,29.444868
2025-01-30,,,,,,,,,,,,,34.824674,36.624662,51.679714,67.308203,,,,,,,,24.789204,23.458835,,,25.750284,29.377461
2025-01-31,,,,,,,,,,,,,34.638824,36.592139,51.801666,66.894441,,,,,,,,24.789204,23.458835,,,25.750284,29.356253
2025-02-03,,,,,,,,,,,,,35.556535,37.366845,52.277602,68.503731,,,,,,,,24.834258,23.565614,,,26.028825,29.533264
2025-02-04,,,,,,,,,,,,,35.378658,35.886135,51.766762,67.694778,,,,,,,,24.347846,23.213576,,,25.750284,29.030862
2025-02-05,,,,,,,,,,,,,35.202604,36.227642,51.351633,67.673183,,,,,,,,24.478523,23.529908,,,25.750284,29.227691
2025-02-06,,,,,,,,,,,,,34.093330,35.267732,50.408909,59.910060,,,,,,,,24.347846,23.458835,,,25.593885,28.858111
2025-02-07,,,,,,,,,,,,,34.093330,34.680570,49.805166,58.041589,,,,,,,,24.391242,23.601431,,,25.710997,28.826248
2025-02-10,,,,,,,,,,,,,34.273185,34.661182,49.934451,59.392211,,,,,,,,24.175855,23.318028,,,25.632798,28.636405
2025-02-11,,,,,,,,,,,,,33.652086,34.353993,49.279008,57.339297,,,,,,,,24.048514,23.248284,,,25.477875,28.425678
2025-02-12,,,,,,,,,,,,,33.623087,33.973152,49.184560,56.110429,,,,,,,,23.472302,22.639669,,,24.987564,27.868470
2025-02-13,,,,,,,,,,,,,33.915409,34.368267,49.676562,57.063199,,,,,,,,23.352555,22.805362,,,24.987564,27.967142
2025-02-14,,,,,,,,,,,,,33.710237,34.439822,49.358000,56.767131,,,,,,,,23.078051,22.508916,,,24.877191,27.734744
2025-02-18,,,,,,,,,,,,,33.264907,33.903581,48.472551,55.189507,,,,,,,,23.116852,22.125968,,,24.445676,27.441665
2025-02-19,,,,,,,,,,,,,33.222453,34.273334,48.702404,55.533934,,,,,,,,23.472302,22.157358,,,24.695477,27.659472
2025-02-20,,,,,,,,,,,,,33.222453,34.005720,48.610194,55.955997,,,,,,,,23.472302,22.188843,,,24.731599,27.649114
2025-02-21,,,,,,,,,,,,,32.051223,33.889699,48.244899,55.425831,,,,,,,,23.512501,22.157358,,,24.305283,27.553951
2025-02-24,,,,,,,,,,,,,32.222776,33.908208,48.275126,55.404263,,,,,,,,23.593336,22.188843,,,24.410419,27.608459
2025-02-25,,,,,,,,,,,,,31.585842,33.438156,47.989521,54.209334,,,,,,,,23.797987,22.508916,,,24.913868,27.764306
2025-02-26,,,,,,,,,,,,,30.422184,33.166054,47.355725,53.297175,,,,,,,,23.512501,22.188843,,,24.410419,27.380521
2025-02-27,,,,,,,,,,,,,30.049898,33.214784,47.210772,53.191134,,,,,,,,23.512501,22.252093,,,24.445676,27.379200
2025-02-28,,,,,,,,,,,,,29.946884,33.104247,47.153043,53.390313,,,,,,,,23.880888,22.606831,,,24.587771,27.632400
2025-03-03,,,,,,,,,,,,,29.958294,32.601129,46.809688,53.019738,,,,,,,,23.797987,22.541455,,,24.410419,27.494015
2025-03-04,,,,,,,,,,,,,30.588076,33.628196,47.766470,54.527455,,,,,,,,23.964395,22.476473,,,24.516509,27.757546
2025-03-05,,,,,,,,,,,,,30.564263,32.330235,46.387604,51.894743,,,,,,,,23.392329,22.001330,,,23.826874,27.089270
2025-03-06,,,,,,,,,,,,,30.864712,31.311203,45.566359,50.011098,,,,,,,,23.234080,21.847587,,,23.793454,26.852054
2025-03-07,,,,,,,,,,,,,31.233413,31.548720,45.579801,49.941206,,,,,,,,23.432243,22.063464,,,23.961546,27.061952
2025-03-10,,,,,,,,,,,,,32.382825,32.422829,46.331918,52.654363,,,,,,,,23.633973,22.283859,,,23.995464,27.463806
2025-03-11,,,,,,,,,,,,,33.493230,33.060245,46.852326,53.092116,,,,,,,,23.633973,22.411882,,,23.894012,27.622349
2025-03-12,,,,,,,,,,,,,32.598793,32.742643,46.597669,52.882120,,,,,,,,23.756760,22.411882,,,23.927730,27.619977
2025-03-13,,,,,,,,,,,,,32.721586,32.803064,46.738793,52.751727,,,,,,,,23.674754,22.283859,,,23.995464,27.554353
2025-03-14,,,,,,,,,,,,,32.222776,31.891646,46.220944,51.218296,,,,,,,,23.273431,21.847587,,,23.594962,27.022501
2025-03-17,,,,,,,,,,,,,32.571634,31.023300,45.660636,50.369487,,,,,,,,23.273431,21.786719,,,23.464544,26.875493
2025-03-18,,,,,,,,,,,,,31.459035,30.162392,44.982754,49.174086,,,,,,,,23.116852,21.458192,,,23.050891,26.473753
2025-03-19,,,,,,,,,,,,,31.752278,29.927967,44.516505,49.033621,,,,,,,,23.194865,21.399573,,,23.050891,26.449737
2025-03-20,,,,,,,,,,,,,32.423093,30.590327,44.852238,49.680882,,,,,,,,23.432243,21.636090,,,23.208172,26.760005
2025-03-21,,,,,,,,,,,,,32.707895,30.341638,44.969665,49.623408,,,,,,,,23.593336,21.726204,,,23.208172,26.826897
2025-03-24,,,,,,,,,,,,,32.183019,30.448765,44.852238,49.044826,,,,,,,,23.194865,21.399573,,,22.926661,26.493251
2025-03-25,,,,,,,,,,,,,31.662434,29.672657,43.723922,47.901294,,,,,,,,23.512501,21.726204,,,23.113535,26.571152
2025-03-26,,,,,,,,,,,,,31.946585,30.093475,44.122861,47.917323,,,,,,,,23.593336,21.878155,,,23.208172,26.737470
2025-03-27,,,,,,,,,,,,,32.625998,30.360054,44.236409,48.496282,,,,,,,,23.715684,22.094670,,,23.303623,26.931300
2025-03-28,,,,,,,,,,,,,33.067740,30.778681,44.606388,49.406235,,,,,,,,23.922567,22.252093,,,23.432174,27.193819
2025-03-31,7.095440,11.312135,20.484038,11.187919,7.485557,9.053225,7.906295,14.963504,,,20.108403,40.124799,34.188558,32.536821,44.536450,50.107252,33.023946,20.955238,20.630921,17.533456,18.311789,21.155321,28.647198,25.062318,22.894403,22.943704,26.447935,23.963733,17.898396
2025-04-01,7.136466,11.371785,20.608333,11.147795,7.537670,9.107433,7.914540,15.075124,,,20.036518,39.312749,33.985924,31.901989,43.934975,50.065761,32.405056,20.774966,20.236627,17.576642,18.459382,21.429872,28.660854,25.193327,22.799348,23.180167,26.393674,23.767462,17.921395
2025-04-02,7.082546,11.282566,20.274969,10.883784,7.344177,9.000844,7.877594,14.954153,,,19.911477,38.944791,33.814197,32.196103,43.871966,50.921383,32.229609,20.740169,20.148801,17.589021,18.730587,21.779528,28.922911,25.105829,22.736435,22.990593,26.285845,23.574518,17.804853
2025-04-03,7.538158,12.561670,22.937698,11.886603,8.010747,9.803731,8.248542,16.092991,,,21.751626,42.565585,38.856218,33.910409,45.342682,53.690838,34.545967,21.818530,21.198139,19.095886,20.097096,23.510136,31.335536,25.414879,22.799348,23.276185,26.834345,23.832512,18.972821
2025-04-04,8.110574,13.513096,24.794457,12.821241,8.579585,10.480830,8.901119,17.395443,,,22.972150,46.031460,40.443432,36.321059,47.413979,59.837726,38.180083,23.518800,23.139277,20.099483,21.865452,25.476622,35.177234,25.414879,22.799348,23.276185,26.834345,23.832512,20.055567
2025-04-07,7.972633,13.094585,24.503345,12.955829,8.497720,10.299357,8.817938,17.384698,,,23.633280,47.558265,41.352499,37.694358,49.126783,60.886541,39.665476,24.454510,24.199159,20.683385,24.279175,27.656018,39.290187,27.449452,24.986224,25.919121,29.423945,25.856545,20.684507
2025-04-08,7.894506,13.284481,24.535338,13.040929,8.543315,10.312838,8.880694,17.595679,,,23.713321,45.322443,41.982188,37.644462,49.142646,58.940394,38.152407,23.924312,23.099053,20.273492,21.997592,25.038165,34.734577,27.607831,25.217604,25.799029,29.491947,25.702873,20.448780
2025-04-09,7.380522,12.583455,22.561525,11.767811,7.774127,9.716131,8.299698,16.186498,,,24.413956,47.596801,44.034095,39.029117,49.769544,60.154514,39.928271,24.774485,23.671611,21.257819,23.174527,26.269059,36.230826,27.661048,25.573163,25.739418,29.022667,25.475892,19.950465
2025-04-10,7.583644,13.003498,23.457734,12.362920,8.099549,10.160846,8.560775,16.824715,,,23.759757,44.266539,42.160604,37.077598,48.780435,57.194339,37.329548,24.021337,22.482371,20.399738,21.347169,24.747110,33.662233,27.189633,25.256601,25.445599,28.441550,25.034223,19.940576
2025-04-11,7.330277,12.970107,23.439517,12.256286,7.998427,10.248776,8.457590,16.743010,,,23.459763,44.652321,41.104308,37.968404,48.392858,55.830028,37.194059,23.715435,22.766856,20.484824,22.169965,25.939499,35.546205,26.488573,24.281839,24.768124,27.884049,25.513433,19.785748
2025-04-14,7.370192,12.735080,22.878706,12.043212,7.934927,10.162298,8.472021,16.451149,,,22.661478,42.642444,39.223531,36.408716,47.355058,53.958548,35.396381,23.204029,21.978474,19.936658,22.137831,25.515847,35.021506,26.057375,23.823257,24.179273,27.407168,25.216301,19.504610
2025-04-15,7.413638,12.327332,22.501194,11.958196,7.851412,9.957871,8.448001,16.358139,,,22.313125,41.329929,37.895963,35.365216,46.361734,51.460506,34.529870,22.807480,21.251946,20.148878,21.673401,24.739740,34.165175,26.057375,23.719983,24.075330,27.290580,24.890520,19.295009
2025-04-16,7.511961,12.527601,23.273299,12.152306,8.015297,10.036277,8.648633,16.699517,,,22.199484,41.504017,38.131431,34.885121,45.873976,51.813728,34.570141,22.738811,21.188081,20.349042,22.202197,25.367455,34.969911,26.295112,23.997479,24.443275,27.584003,25.326876,19.527432
2025-04-17,7.445988,12.502950,22.868329,11.923783,7.930481,9.934338,8.587517,16.384598,,,22.164555,41.606265,38.204488,35.287491,45.846420,52.443918,34.797462,22.786304,21.470076,20.323792,21.722623,24.821066,33.882794,25.916867,23.583732,24.179273,27.407168,25.106724,19.371660
2025-04-21,7.529592,12.655617,23.063676,12.100922,8.118249,10.032041,8.823217,16.504807,,,22.164555,41.606265,38.204488,35.287491,45.846420,52.443918,34.797462,22.786304,21.470076,20.323792,22.061105,25.190209,34.096571,25.916867,23.583732,24.179273,27.407168,25.106724,19.513761
2025-04-22,7.346668,12.229785,22.427913,11.703203,7.855136,9.729291,8.590500,15.911171,,,21.865718,41.214703,37.986173,34.866196,45.477706,51.298172,34.266485,22.512148,21.094695,20.157136,22.319049,25.336444,34.704122,25.824067,23.349184,24.933946,26.778428,24.783867,19.217670
2025-04-23,7.207287,12.105171,21.862319,11.514742,7.737334,9.509582,8.451833,15.618248,,,20.757257,39.332312,35.775505,33.856909,44.758174,49.521107,32.834281,21.610560,20.245757,19.350021,21.630523,24.902951,34.125938,25.686155,23.119456,24.768124,26.447935,24.748526,18.788159
2025-04-24,7.111884,11.872293,21.293013,11.205105,7.545588,9.311400,8.358117,15.276036,,,20.993814,39.881618,35.911365,34.580187,44.758174,49.521107,32.661192,22.571609,20.448862,19.155047,21.223065,24.491843,33.425824,25.504639,23.022440,24.768124,26.072912,24.678160,18.591720
2025-04-25,7.139238,11.842161,21.212945,11.214658,7.522454,9.291137,8.364666,15.307079,,,21.022582,39.450116,35.663943,34.312692,44.265638,48.478371,32.069920,22.272502,19.957792,18.920692,21.065710,24.242006,33.091346,25.370246,23.087022,24.713357,26.285845,24.748526,18.557302
2025-04-28,7.147568,11.817632,21.257350,11.185868,7.532590,9.326962,8.340400,15.276036,,,21.029787,39.156952,36.344264,33.732754,43.646653,47.919417,32.173878,22.159657,19.612577,18.791510,20.646731,23.785059,32.548957,25.149500,22.926273,24.336956,25.606680,24.400818,18.436271
2025-04-29,7.112384,11.760824,21.080893,11.139107,7.511229,9.131378,8.236769,15.121230,,,20.517104,38.785627,35.505805,33.426430,43.337620,47.246851,30.677744,21.808875,19.907693,18.791510,20.646731,23.785059,32.548957,25.325773,23.184609,24.604580,25.657626,24.469542,18.379127
2025-04-30,7.112384,11.790505,21.227726,11.164475,7.555796,9.141684,8.203469,15.190154,10.174645,14.318176,21.070714,38.938400,36.147177,33.649038,45.288899,45.573447,31.407420,22.099960,20.675378,18.848694,20.303580,23.496895,32.284580,26.057375,24.610265,24.713357,26.125810,24.504056,18.098331
2025-05-01,7.056185,11.712606,21.298970,11.049217,7.480558,9.050982,8.158954,15.089400,10.137096,14.421782,21.248373,39.195784,35.474350,33.649038,45.288899,45.573447,31.407420,22.099960,20.675378,18.848694,20.536480,23.853135,32.872168,26.057375,24.610265,24.713357,26.125810,24.504056,18.046467
2025-05-02,6.921395,11.477852,20.594445,10.831405,7.294044,8.833889,8.051753,14.809262,10.067243,14.280486,20.752583,38.402814,35.490070,32.763973,45.248651,44.748368,30.728250,20.649410,20.194128,18.566389,21.036838,24.305741,33.586208,26.010364,24.610265,24.713357,26.020237,24.608210,17.791327
2025-05-05,6.920223,11.465111,20.692082,10.946312,7.326672,8.828585,8.048321,14.803163,10.090590,14.304582,20.752583,38.402814,35.490070,32.763973,45.101689,44.757785,30.169797,20.779324,20.052818,18.455952,21.036838,24.305741,33.586208,26.010364,24.610265,24.713357,26.020237,24.608210,17.802664
2025-05-06,6.998842,11.536860,20.910347,11.130986,7.394574,8.868004,7.986262,14.775785,10.175754,14.415644,20.726915,38.772950,36.812843,32.914435,45.075073,45.829050,30.477431,21.066782,20.157850,18.483431,21.036838,24.305741,33.586208,25.916867,24.463160,24.443275,26.072912,24.435129,17.892276
2025-05-07,6.995475,11.513691,20.689279,11.083995,7.353232,8.900260,7.899714,14.662869,10.123369,14.432541,20.804119,39.021668,37.155222,32.906040,44.968929,45.769803,30.633694,21.202291,20.151817,18.469681,20.888036,23.894176,32.999656,25.686155,23.997479,24.127186,25.967785,24.298481,17.824375
2025-05-08,6.898968,11.344360,20.307256,10.838356,7.208319,8.886250,7.774632,14.291011,10.099308,14.368254,20.794730,37.912366,36.460255,32.499961,44.549429,44.654404,30.465001,20.953019,19.538819,18.239192,20.741427,23.956015,32.727705,25.595062,23.788728,23.921153,26.072912,24.163417,17.625689
2025-05-09,6.908058,11.297329,20.358599,10.814069,7.217502,8.979862,7.742300,14.326431,10.058587,14.321200,20.664194,37.677905,36.427037,32.296736,44.368405,44.430538,29.916303,20.720650,19.282458,18.113020,20.223637,23.326165,31.534023,25.414879,23.651653,23.769021,25.555945,24.029911,17.511507
2025-05-12,6.749708,10.924478,19.464448,10.411773,6.955218,8.720900,7.650184,14.022422,9.982478,14.253480,19.935064,36.940368,33.323386,31.683073,43.960232,43.817549,29.312905,20.216077,18.979777,17.387089,19.925799,23.132362,31.286316,25.237316,23.316073,23.470737,25.505418,23.542677,17.122736
2025-05-13,6.684998,10.718279,19.303187,10.217400,6.849787,8.608120,7.587411,13.785360,9.941739,14.162774,20.060420,36.537688,33.729002,31.671434,43.909749,44.044241,29.255661,20.269712,18.932064,17.201823,19.251118,22.497876,30.590171,24.932717,23.283060,23.373038,24.867002,23.416210,16.907310
2025-05-14,6.628713,10.618358,19.371255,10.099998,6.774344,8.579195,7.586661,13.794520,9.865501,14.064566,20.169825,36.154908,34.043567,31.349063,43.142178,43.283111,29.164551,20.014552,18.635667,17.142950,18.899232,22.059868,30.120852,24.677662,22.830941,22.850525,24.536825,23.198276,16.754820
2025-05-15,6.589784,10.696380,19.209213,10.036464,6.710286,8.648380,7.479819,13.730678,9.715360,13.932077,19.986735,35.936758,33.914153,31.471069,42.960581,43.380091,28.756207,20.040772,18.704977,17.038049,19.038346,22.748491,30.755260,24.635681,22.736435,22.990593,24.677202,23.291155,16.731413
2025-05-16,6.588322,10.629120,19.266928,9.990773,6.724542,8.589144,7.430898,13.719020,9.633579,14.060203,19.915761,35.593293,33.856961,31.551670,43.117874,43.064345,29.012127,19.940314,18.594848,17.009153,18.880846,23.100388,31.351978,24.847090,22.767845,23.037681,24.583431,23.260109,16.722421
2025-05-19,6.644863,10.611913,19.168552,10.089594,6.783170,8.601118,7.412388,13.720315,9.633579,14.060203,19.947956,35.572049,33.714846,32.438717,42.996778,42.531450,28.646390,19.848826,18.518824,16.860549,18.676571,23.062141,31.525701,25.018961,22.990291,23.180167,24.867002,23.735075,16.788126
2025-05-20,6.627866,10.629120,19.223607,10.176215,6.859753,8.655469,7.428757,13.790593,9.634561,14.010958,19.779615,35.162975,33.185840,32.240302,42.389851,42.278413,28.706682,19.746461,18.267630,17.399187,18.631809,22.643872,30.574544,24.719794,22.736435,22.990593,24.724369,23.542677,16.750713
2025-05-21,6.727901,10.949720,19.839170,10.378152,7.038866,8.899180,7.515534,14.086491,9.706862,14.050034,19.877271,35.329624,33.531924,32.120053,42.495678,42.161383,28.402451,19.811294,18.287265,17.620052,18.672085,22.437624,29.791465,24.719794,22.611692,22.943704,24.724369,23.384816,16.925139
2025-05-22,6.736031,10.935935,19.839170,10.303376,6.992950,8.877654,7.495077,13.973770,9.654743,13.640858,19.963019,35.471504,33.434273,32.296736,42.554703,42.244910,28.805910,19.888494,18.194401,17.713844,18.899232,22.365766,29.955222,24.677662,22.611692,22.990593,24.677202,23.353508,16.916924
2025-05-23,6.735152,10.961235,19.924229,10.298557,7.001983,8.938226,7.501639,14.008871,9.621811,13.627252,20.220573,35.828695,33.856961,32.981766,43.386765,43.371254,30.012353,20.325728,18.450960,18.027749,18.922269,22.147205,29.761889,24.427985,22.427239,22.990593,24.490400,23.447695,16.950661
2025-05-27,6.636139,10.731464,19.327439,10.038959,6.856125,8.813772,7.419494,13.831289,9.535046,13.438487,20.251595,35.319160,33.644249,32.329076,45.832652,43.107916,29.175908,20.075172,18.119379,17.751658,18.609513,22.123845,29.289668,24.386885,22.488372,23.228071,25.011357,23.963733,16.806714
2025-05-28,6.674642,10.766803,19.434917,10.147259,6.934201,8.841326,7.522871,13.908131,9.500159,13.449046,20.296087,35.758809,34.174002,32.672721,46.574038,43.602162,29.743830,20.325728,18.292180,17.911076,18.735103,22.094717,29.133333,24.305112,22.519070,23.324506,24.819267,24.129897,16.873374
2025-05-29,6.655753,10.727065,19.312880,10.201399,6.904104,8.759240,7.503099,13.882858,9.805850,13.359862,20.163224,35.534940,33.616095,32.569660,46.375829,43.055639,29.626075,20.294567,18.302018,17.911076,18.363594,21.773884,28.950785,24.345926,22.457762,23.228071,24.536825,23.963733,16.801611
2025-05-30,6.663680,10.751311,19.363938,10.268979,6.910099,8.731225,7.536858,13.984551,9.727886,13.379425,20.123721,35.382036,33.658344,32.442793,46.347654,43.477517,29.684831,20.218133,18.299557,17.962733,18.187858,21.672822,28.985706,24.345926,22.396803,23.569293,24.630225,24.264568,16.836005
2025-06-02,6.649556,10.762372,19.247649,10.295762,6.893068,8.737433,7.509676,13.991297,9.667096,13.354655,20.064771,35.429345,34.144927,32.619047,46.221298,42.994815,29.880451,20.224308,18.274988,18.001684,18.494476,21.898755,29.246859,24.677662,22.767845,23.870216,24.914926,24.298481,16.881175
2025-06-03,6.615396,10.637746,19.073590,10.217094,6.880245,8.642313,7.484897,13.886841,9.678492,13.218268,20.066949,35.199291,34.014720,32.410217,46.249316,43.055639,29.585089,20.363253,18.376170,17.142950,18.609513,22.013583,29.375677,23.983661,22.038198,23.276185,24.125501,23.865177,16.714581
2025-06-04,6.658964,10.700752,19.104343,10.288160,6.904104,8.669687,7.557579,14.022422,9.712359,13.320920,20.136872,35.545532,34.029137,32.647926,46.347654,43.513053,30.066658,20.373703,18.501179,17.478264,18.578393,21.847490,29.140401,23.904679,21.863365,23.421780,23.728309,23.897934,16.749167
2025-06-05,6.708003,10.696380,19.040588,10.185909,6.792910,8.718838,7.539072,13.957633,9.751029,13.271946,20.119342,35.429345,33.814197,32.296736,46.040021,42.522964,29.491845,20.390447,18.255383,17.539612,18.825912,22.270701,29.593004,23.594108,21.634724,23.324506,23.513485,23.606447,16.722371
2025-06-06,6.626807,10.569165,18.674058,10.064427,6.740175,8.574230,7.413098,13.676460,9.696388,13.176420,19.939360,34.793866,32.887321,32.040402,45.860191,42.194753,29.289979,20.300791,18.184683,16.934505,18.735103,22.158905,29.368490,23.670958,21.691413,23.519906,23.386528,23.606447,16.578776
2025-06-09,6.605501,10.590492,18.694408,10.071519,6.734520,8.561352,7.435185,13.645686,9.691907,13.231006,19.843188,34.870105,32.995230,31.901989,45.288899,42.463670,29.364623,20.265574,18.172552,16.934505,18.556231,21.944535,28.777479,23.404242,21.246437,23.276185,23.178089,23.198276,16.492062
2025-06-10,6.566684,10.543699,18.726155,10.051602,6.740175,8.662571,7.435900,13.608699,9.651784,13.124824,20.080020,35.823308,33.942824,32.793118,46.702376,43.691642,29.637808,20.426122,18.526396,17.745344,18.721561,22.083088,29.303967,23.143727,21.111281,23.132467,22.772639,23.075634,16.519394
2025-06-11,6.576026,10.620509,18.647000,9.916735,6.740611,8.715748,7.467519,13.848432,9.688922,13.223359,20.106217,35.861042,33.559933,32.822317,46.946771,43.335955,29.289979,20.593642,18.471013,17.564280,18.798572,22.312188,29.368490,22.605387,20.690652,22.897017,22.458798,22.686239,16.465135
2025-06-12,6.574155,10.644226,18.680836,9.903327,6.735824,8.811660,7.456705,13.808940,9.661656,13.181477,20.073482,35.758809,33.700702,32.714133,46.702376,42.633534,29.643676,20.647260,18.378652,17.745344,18.730587,22.083088,29.126268,22.675648,20.716426,23.132467,22.458798,22.804582,16.488778
2025-06-13,6.643372,10.760158,19.113827,10.071224,6.843462,8.989787,7.537596,14.003459,9.747499,13.191603,20.271591,36.265008,34.014720,33.219674,47.091759,42.960140,30.261412,20.937505,18.733370,18.021225,18.996385,22.425614,29.754505,22.853318,20.742266,23.519906,22.497533,22.834369,16.697978
2025-06-16,6.530446,10.689830,18.717072,9.864472,6.780519,8.903499,7.401050,13.835241,9.675515,13.162534,20.071305,35.582667,33.049459,32.296736,46.249316,41.650982,29.579242,20.761902,18.064140,18.008192,18.825912,22.217598,29.549273,22.675648,20.361631,23.324506,22.267203,22.540105,16.460556
2025-06-17,6.547683,10.729265,18.879677,9.910025,6.816511,8.974359,7.452390,13.964352,9.691907,13.119814,20.340784,35.996478,33.714846,32.927037,46.975696,43.318326,30.194172,21.037660,18.533976,18.192492,18.839614,22.083088,29.218392,22.889201,20.690652,23.519906,22.191519,23.045184,16.575848
2025-06-18,6.457773,10.550052,18.653757,9.761347,6.709854,8.735363,7.323483,13.589652,9.658692,13.009397,20.090927,35.630530,33.517938,32.676858,46.889032,42.633534,29.976260,20.833962,18.471013,18.622134,18.807676,22.188211,29.211284,22.961324,20.690652,23.421780,22.343429,23.014818,16.424975
2025-06-20,6.437132,10.457700,18.631254,9.685328,6.701680,8.667652,7.322102,13.549212,9.682959,13.046391,20.262698,35.753447,33.090252,33.644642,47.860695,43.611092,30.121170,21.229613,18.589760,18.827206,18.784933,22.365766,29.454979,22.500846,20.486868,23.668717,22.420204,22.894189,16.415923
2025-06-23,6.373240,10.294285,18.429080,9.603695,6.646791,8.507349,7.462468,13.348405,9.691410,12.999571,20.410478,36.336943,33.531924,34.189614,48.178550,44.236528,30.279803,21.163711,18.738543,18.770159,18.949991,22.377709,29.622233,22.226948,20.311986,23.324506,22.041756,22.804582,16.307127
2025-06-24,6.316118,10.222575,18.046732,9.405791,6.567844,8.401626,7.351217,13.149198,9.619363,12.900974,19.838936,34.763468,32.766789,33.176932,47.208410,43.344773,28.794849,20.538191,18.199263,18.239192,18.654162,22.118013,28.902042,21.828943,19.829187,22.943704,21.784700,22.225442,16.049608
2025-06-25,6.263717,10.185174,17.739343,9.308416,6.494263,8.311762,7.435900,12.980379,9.639475,12.869669,19.762735,34.931344,32.806865,33.249662,47.487838,43.799517,28.739678,20.595782,18.620338,18.185840,18.717052,22.229376,29.168712,21.667479,19.573798,22.621002,21.604901,22.085433,15.971098
